session_id,user_id,session_start,session_end,device,browser,traffic_source,session_duration_sec,pages_visited,bounce,conversion
S0000001,U02620,2025-01-15 08:47:00,2025-01-15 08:57:23,Mobile,Chrome,Email,623,4,0,True
S0000002,U02419,2025-02-24 08:01:00,2025-02-24 08:05:11,Tablet,Chrome,Email,251,8,0,True
S0000003,U02933,2025-03-25 19:34:00,2025-03-25 19:49:19,Tablet,Safari,Search,919,7,0,True
S0000004,U02860,2025-02-24 13:17:00,2025-02-24 13:23:18,Desktop,Chrome,Search,378,14,0,True
S0000005,U00397,2025-02-15 21:22:00,2025-02-15 21:43:36,Mobile,Firefox,Email,1296,5,0,True
S0000006,U01551,2025-01-11 16:18:00,2025-01-11 16:47:18,Desktop,Edge,Search,1758,3,0,False
S0000007,U02709,2025-01-30 20:18:00,2025-01-30 20:21:43,Mobile,Firefox,Direct,223,16,0,False
S0000008,U02604,2025-02-16 10:23:00,2025-02-16 10:36:07,Desktop,Chrome,Email,787,7,0,True
S0000009,U02188,2025-02-01 10:29:00,2025-02-01 10:42:57,Tablet,Edge,Direct,837,3,0,True
S0000010,U00939,2025-01-05 20:20:00,2025-01-05 20:34:41,Mobile,Safari,Recommendation,881,17,0,True
S0000011,U01621,2025-03-24 15:09:00,2025-03-24 15:19:02,Tablet,Safari,Email,602,15,0,True
S0000012,U02391,2025-02-21 13:14:00,2025-02-21 13:19:43,Mobile,Chrome,Search,343,6,0,False
S0000013,U02571,2025-01-21 20:43:00,2025-01-21 20:58:24,Desktop,Firefox,Email,924,16,0,False
S0000014,U02168,2025-02-02 16:55:00,2025-02-02 16:56:23,Mobile,Safari,Direct,83,5,1,False
S0000015,U01203,2025-02-25 10:29:00,2025-02-25 10:30:06,Tablet,Safari,Email,66,7,1,False
S0000016,U02080,2025-01-14 21:40:00,2025-01-14 21:51:11,Tablet,Edge,Recommendation,671,13,0,False
S0000017,U00662,2025-03-11 20:59:00,2025-03-11 21:18:06,Tablet,Safari,Ads,1146,2,0,False
S0000018,U00459,2025-02-16 22:53:00,2025-02-16 23:21:32,Mobile,Edge,Email,1712,4,0,True
S0000019,U00351,2025-03-04 21:04:00,2025-03-04 21:30:57,Mobile,Edge,Ads,1617,7,0,False
S0000020,U01086,2025-03-09 21:38:00,2025-03-09 21:53:26,Tablet,Edge,Direct,926,14,0,False
S0000021,U02752,2025-03-25 13:28:00,2025-03-25 13:46:39,Mobile,Edge,Search,1119,12,0,False
S0000022,U00087,2025-03-17 16:14:00,2025-03-17 16:35:05,Mobile,Chrome,Recommendation,1265,4,0,True
S0000023,U00129,2025-02-12 09:32:00,2025-02-12 09:41:07,Desktop,Edge,Email,547,6,0,True
S0000024,U02963,2025-03-15 17:30:00,2025-03-15 17:39:17,Desktop,Edge,Search,557,5,0,False
S0000025,U02700,2025-02-25 13:27:00,2025-02-25 13:42:01,Tablet,Chrome,Search,901,3,0,False
S0000026,U01650,2025-02-13 20:55:00,2025-02-13 20:59:43,Mobile,Firefox,Recommendation,283,15,0,True
S0000027,U00752,2025-02-05 15:15:00,2025-02-05 15:18:34,Tablet,Chrome,Search,214,2,0,False
S0000028,U00383,2025-01-31 10:26:00,2025-01-31 10:43:34,Desktop,Chrome,Recommendation,1054,14,0,False
S0000029,U00009,2025-02-19 12:59:00,2025-02-19 13:26:45,Desktop,Firefox,Email,1665,17,0,False
S0000030,U00635,2025-01-25 12:13:00,2025-01-25 12:15:59,Tablet,Chrome,Direct,179,3,0,False
S0000031,U00206,2025-03-16 15:32:00,2025-03-16 15:51:07,Tablet,Chrome,Recommendation,1147,4,0,True
S0000032,U02438,2025-01-09 18:55:00,2025-01-09 19:04:01,Tablet,Edge,Email,541,3,0,False
S0000033,U02537,2025-01-11 14:42:00,2025-01-11 15:02:55,Desktop,Safari,Recommendation,1255,12,0,False
S0000034,U00978,2025-02-03 14:08:00,2025-02-03 14:31:55,Desktop,Safari,Search,1435,2,0,False
S0000035,U01878,2025-03-21 17:06:00,2025-03-21 17:09:30,Tablet,Safari,Recommendation,210,13,0,False
S0000036,U00282,2025-02-01 13:18:00,2025-02-01 13:24:23,Tablet,Safari,Email,383,18,0,False
