user_id,age,gender,city,membership,preferred_category,signup_date,customer_segment,is_active
U00001,58,Male,Hyderabad,Gold,Sports & Outdoors › Clothing › Men › Outerwear › Jackets,2023-04-03,Window Shopper,True
U00002,52,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2022-07-11,Window Shopper,True
U00003,53,Male,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2024-05-09,Window Shopper,True
U00004,18,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Wool & Blends",2022-11-15,Window Shopper,True
U00005,24,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxer Briefs",2023-06-26,Loyal Customer,False
U00006,52,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",2024-01-11,Occasional Buyer,True
U00007,20,Male,Mumbai,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Swim › Board Shorts",2022-07-26,Occasional Buyer,False
U00008,58,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxers",2023-07-01,Loyal Customer,True
U00009,56,Male,Pune,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Dress",2024-08-04,Occasional Buyer,True
U00010,38,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Base Layers & Compression › Shirts",2024-04-01,Window Shopper,True
U00011,54,Female,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Shoes › Fashion Sneakers",2024-07-28,Window Shopper,True
U00012,33,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Running › Road Running",2024-03-28,Occasional Buyer,True
U00013,50,Female,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2022-11-10,Occasional Buyer,False
U00014,56,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts",2024-12-19,Window Shopper,True
U00015,25,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",2024-06-09,Window Shopper,True
U00016,34,Male,Pune,Platinum,"Clothing, Shoes & Jewelry › Boys › Clothing › Active › Active Shorts",2023-09-04,Loyal Customer,True
U00017,27,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Casual",2022-01-02,Occasional Buyer,False
U00018,19,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Sweatshirts",2023-05-06,Window Shopper,True
U00019,23,Female,Hyderabad,Platinum,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Casual",2022-09-15,Window Shopper,False
